
Calibration,Robot_ZAxis,,,,,,"Move to maximum limit ",Device: Robot_ZAxis End;,,S
Calibration,Robot_ZAxis,,,,,,"Return the firmware version for the card attached to this axis.",Device: Robot_ZAxis GetFirmwareVersion;,,S
Calibration,Robot_ZAxis,,,,,,"Return our internal tracking of the axis position.",Device: Robot_ZAxis GetPositionTracking;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current half step setting.",Device: Robot_ZAxis HalfStep;,,S
Calibration,Robot_ZAxis,,,,,,"Homing (override)",Device: Robot_ZAxis Home;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain home Position",Device: Robot_ZAxis HomePosition;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the home step value. By default, this is 0, but it may be reconfigured if home optos are not at start of travel.",Device: Robot_ZAxis HomeStep;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current power settings.",Device: Robot_ZAxis HomingPower;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current homing step speed profile.",Device: Robot_ZAxis HomingStepSpeedProfile;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current power settings used when axis is stationary.",Device: Robot_ZAxis IdlePower;,,S
Calibration,Robot_ZAxis,,,,,,"Move by relative amount. increment: the relative amount by which to move (in mm)",Device: Robot_ZAxis IncrementPosition increment;,,S
Calibration,Robot_ZAxis,,,,,,"Move motor by given step increment",Device: Robot_ZAxis IncrementStep stepInc bNonBlocking;,,S
Calibration,Robot_ZAxis,,,,,,"Determine whether motor needs homing",Device: Robot_ZAxis IsHomed;,,S
Calibration,Robot_ZAxis,,,,,,"Check whether a step setting is valid. step: the step setting to validate.",Device: Robot_ZAxis IsValid step;,,S
Calibration,Robot_ZAxis,,,,,,"Return the maximum permitted Position",Device: Robot_ZAxis MaxPosition;,,S
Calibration,Robot_ZAxis,,,,,,"Return the maximum permitted step count",Device: Robot_ZAxis MaxStep;,,S
Calibration,Robot_ZAxis,,,,,,"Return the minimum permitted Position",Device: Robot_ZAxis MinPosition;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current Position",Device: Robot_ZAxis Position;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current power settings.",Device: Robot_ZAxis Power;,,S
Calibration,Robot_ZAxis,,,,,,"Resets the velocity profile back to the default.",Device: Robot_ZAxis ResetHalfStep;,,S
Calibration,Robot_ZAxis,,,,,,"Reset the home step value to the configured setting.",Device: Robot_ZAxis ResetHomeStep;,,S
Calibration,Robot_ZAxis,,,,,,"Resets the power back to the default.",Device: Robot_ZAxis ResetHomingPower;,,S
Calibration,Robot_ZAxis,,,,,,"Resets the homing velocity profile back to the default.",Device: Robot_ZAxis ResetHomingStepSpeedProfile;,,S
Calibration,Robot_ZAxis,,,,,,"Resets the idle power back to the default.",Device: Robot_ZAxis ResetIdlePower;,,S
Calibration,Robot_ZAxis,,,,,,"Resets the power back to the default.",Device: Robot_ZAxis ResetPower;,,S
Calibration,Robot_ZAxis,,,,,,"Resets the velocity profile back to the default.",Device: Robot_ZAxis ResetStepSpeedProfile;,,S
Calibration,Robot_ZAxis,,,,,,"Set the current half step setting.",Device: Robot_ZAxis SetHalfStep newSetting;,,S
Calibration,Robot_ZAxis,,,,,,"Override the home step value.",Device: Robot_ZAxis SetHomeStep homeStep;,,S
Calibration,Robot_ZAxis,,,,,,"Set the current power settings.",Device: Robot_ZAxis SetHomingPower newMax newHold newDecay;,,S
Calibration,Robot_ZAxis,,,,,,"Sets the velocity profile for subsequent moves.",Device: Robot_ZAxis SetHomingStepSpeedProfile newBeginSpeed newEndSpeed newSlope;,,S
Calibration,Robot_ZAxis,,,,,,"Set the power settings to use when axis is stationary.",Device: Robot_ZAxis SetIdlePower newMax newHold newDecay;,,S
Calibration,Robot_ZAxis,,,,,,"Move to absolute Position. position: the new setting (in mm)",Device: Robot_ZAxis SetPosition position;,,S
Calibration,Robot_ZAxis,,,,,,"Set the internal tracking position.",Device: Robot_ZAxis SetPositionTracking newPosition;,,S
Calibration,Robot_ZAxis,,,,,,"Set the current power settings.",Device: Robot_ZAxis SetPower newMax newHold newDecay;,,S
Calibration,Robot_ZAxis,,,,,,"Set the current power settings.",Device: Robot_ZAxis SetPowerFromString profile;,,S
Calibration,Robot_ZAxis,,,,,,"Move motor to a given step.",Device: Robot_ZAxis SetStep step bNonBlocking;,,S
Calibration,Robot_ZAxis,,,,,,"Sets the velocity profile for subsequent moves.",Device: Robot_ZAxis SetStepSpeedProfile newBeginSpeed newEndSpeed newSlope;,,S
Calibration,Robot_ZAxis,,,,,,"Sets the velocity profile for subsequent moves using a string as input.",Device: Robot_ZAxis SetStepSpeedProfileFromString profile;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current step value",Device: Robot_ZAxis Step;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain the current step speed profile.",Device: Robot_ZAxis StepSpeedProfile;,,S
Calibration,Robot_ZAxis,,,,,,"Obtain setting for the number of steps per mm",Device: Robot_ZAxis StepsPerMm;,,S
Calibration,Robot_ZAxis,,,,,,"Override this to validate configuration settings as they are read in. Throw a HardwareSettingsError if a problem is encountered",Device: Robot_ZAxis ValidateSettings;,,S
Calibration,Robot_ZAxis,,,,,,"Wait for an action to complete.",Device: Robot_ZAxis WaitForCompletion;,,S
Calibration,Robot_ZAxis,,,,,,"Put settings back to normal mode",Device: Robot_ZAxis _CompleteHoming;,,S
